Plant Category,Seed Name,Average Precipitation per day,Average Temperature (2 m),Average Soil Temperature (0 to 6 cm),Average Sunshine Duration(s),Humidity(%),Rainfall Alert Maximum Rain (mm),Average Soil Moisture (0-3 cm)
Aquatic Plant,Wisconsin Lakes,3.5,22.5,20.2,28000.0,65.0,30.0,0.35
Vegetable,Woolly Green Zebra,5.0,20.0,18.0,30000.0,60.0,10.0,0.4
Flowering Plant,Xanthos,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering plant,Yellow Bell,10.0,28.0,25.0,6000.0,60.0,50.0,0.3
Vegetable,Yellow Brandywine,5.0,22.0,18.0,54000.0,60.0,20.0,0.3
Flowering Plant,Yellow Centiflor,5.0,22.0,18.0,3600.0,60.0,20.0,0.25
Flowering Plant,Yellow Furry Boar,5.0,25.0,20.0,36000.0,60.0,20.0,0.4
Flowering plant,Yellow Perfection,7.5,22.5,21.5,25200.0,60.0,30.0,0.30000000000000004
Flowering Plant,Yellow Torch,5.0,28.0,25.0,3600.0,60.0,20.0,0.3
Herbaceous plant,Yenidje,5.0,25.0,20.0,30000.0,60.0,15.0,0.3
Vegetable,Yolo Wonder,5.0,20.0,18.0,30000.0,60.0,20.0,0.3
Flowering Plant,Zappho,5.0,20.0,18.0,600.0,60.0,20.0,0.2
Flowering Plant,Zarianka,5.0,25.0,20.0,10.0,50.0,20.0,0.3
Flowering plant,Zebra,10.0,20.0,15.0,600.0,60.0,50.0,0.3
Indoor Plant,Zebra Creg,5.0,25.0,20.0,6000.0,50.0,20.0,0.4
Flowering Plant,Zogola,10.0,25.0,20.0,3000.0,60.0,50.0,0.3
Flowering Plant,Zuboda,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Perennial,Achillea,3.0,20.0,17.5,2000.0,50.0,10.0,0.25
Perennial,Aconitum lycoctonum,5.0,15.0,18.0,24000.0,60.0,20.0,0.4
Perennial,Actaea,5.0,18.0,15.0,18000.0,70.0,20.0,0.3
Perennial,Actaea spicata,5.0,15.0,12.0,18000.0,70.0,20.0,0.4
Herbaceous perennial,Agrimonia,5.0,20.0,18.0,30000.0,60.0,30.0,0.3
Perennial,Alcea rugosa,5.0,20.0,15.0,30000.0,60.0,20.0,0.3
Perennial,Allium,5.0,18.0,15.0,18000.0,60.0,50.0,0.3
Flowering plant,Anemone multifida,5.0,20.0,15.0,30000.0,60.0,20.0,0.3
Flowering plant,Anemone,5.0,20.0,15.0,3000.0,60.0,20.0,0.4
Perennial,Angelica gigas,4.0,16.0,15.0,3600.0,70.0,50.0,0.3
Perennial,Angelica sylvestris,3.5,14.5,12.8,28800.0,65.0,25.0,0.25
Perennial,Antennaria dioica,3.5,15.0,12.5,26000.0,50.0,10.0,0.30000000000000004
Perennial,Anthericum liliago,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Perennial,Aquilegia,5.0,20.0,18.0,6000.0,60.0,15.0,0.3
Perennial,Aquilegia vulgaris,5.0,19.0,14.0,54000.0,65.0,20.0,0.27
Shrub,Aralia,5.0,20.0,18.0,18000.0,70.0,20.0,0.3
Herbaceous Biennial,Arctium lappa,5.0,18.0,15.0,24000.0,60.0,20.0,0.3
Perennial plant,Arisaema,7.5,20.0,15.0,81000.0,55.0,20.0,0.4
Perennial,Astrantia Maxima,5.0,15.0,12.0,3000.0,70.0,20.0,0.3
Perennial,Campanula,5.0,20.0,18.0,18000.0,70.0,50.0,0.3
Flowering plant,Cardiocrinum,7.5,15.0,15.0,20000.0,70.0,20.0,0.4
Perennial,Centaurea jacea,5.0,20.0,15.0,3600.0,50.0,20.0,0.3
Flowering plant,Centaurea,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Perennial,Cephalaria,7.5,22.5,17.5,2600.0,50.0,20.0,0.5
Perennial,Chaerophyllum,5.0,20.0,15.0,24000.0,60.0,20.0,0.4
Perennial,Chelone obliqua,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Perennial,Cirsium Vulgare,10.0,20.0,15.0,3600.0,60.0,20.0,0.3
Perennial flowering vine,Clematis,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Perennial,Corydalis nobilis,5.0,20.0,15.0,36000.0,60.0,20.0,0.4
Grass,Dactylis glomerata,3.5,17.5,15.0,20000.0,55.0,10.0,0.30000000000000004
Flowering Perennial,Dianthus armeria,2.5,16.5,15.2,21600.0,60.0,20.0,0.3
Flowering plant,Dianthus,7.5,20.0,17.5,3500.0,50.0,20.0,0.30000000000000004
Perennial,Dianthus 'Ellen',5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Perennial,Digitalis purpurea,2.0,16.0,14.0,25000.0,60.0,15.0,0.35
Perennial,Digitalis Lutea,3.0,16.0,15.0,30000.0,60.0,20.0,0.4
Herbaceous perennial,Dracocephalum nutans,5.0,20.0,15.0,3600.0,60.0,20.0,0.4
Perennial herb,Echinops,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Flowering Plant,Echium Vulgare,5.7,20.5,18.2,25000.0,65.0,20.0,0.25
Perennial,Eranthis hyemalis,3.5,11.5,7.5,18000.0,50.0,15.0,0.4
Perennial,Filipendula,5.0,18.0,15.0,7200.0,60.0,20.0,0.3
Flowering Plant,Fritillaria,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Gentiana lutea,5.0,10.0,12.0,3000.0,60.0,20.0,0.3
Flowering Plant,Geranium,5.0,20.0,18.0,6000.0,50.0,20.0,0.2
Perennial Flower,Geum Coccineum,2.5,16.5,14.2,25000.0,55.0,50.0,0.35
Perennial,Geum rivale,5.0,15.0,18.0,36000.0,60.0,20.0,0.4
Herbaceous perennial,Geum urbanum,2.0,15.0,18.0,24000.0,60.0,50.0,0.3
Perennial,Helenium hoopesii,5.0,20.0,15.0,6000.0,50.0,20.0,0.4
Perennial Flower,Hemerocallis,5.0,22.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Hepatica nobilis,5.0,10.0,8.0,18000.0,60.0,20.0,0.3
Perennial,Heuchera,5.0,20.0,15.0,6000.0,60.0,30.0,0.3
Perennial,Hosta sieboldiana,7.5,22.5,17.5,2600.0,65.0,17.5,0.4
Perennial,Hypericum perforatum,5.0,20.0,15.0,18000.0,60.0,50.0,0.3
Perennial,Iris aphylla,5.0,15.0,12.0,36000.0,60.0,50.0,0.3
Perennial,Iris Typhifolia,5.0,20.0,15.0,6000.0,60.0,50.0,0.3
Perennial,Lathyrus vernus,5.0,10.0,8.0,10000.0,50.0,20.0,0.3
Flowering plant,Leontodon,3.5,20.0,15.0,3250.0,55.0,15.0,0.30000000000000004
Perennial Flowering Plant,Leucanthemum,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Leuzea,5.0,20.0,15.0,3000.0,60.0,20.0,0.4
Perennial,Ligularia,5.0,20.0,15.0,18000.0,70.0,20.0,0.3
Herb,Ligusticum,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Flowering Plant,Lilium,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Flowering Plant,Lunaria vulgaris,5.0,15.0,12.0,36000.0,70.0,50.0,0.3
Perennial,Lunaria Rediviva,5.0,15.0,12.0,3600.0,60.0,10.0,0.3
Perennial,Lychnis flos-cuculi,3.5,15.0,12.5,21600.0,50.0,20.0,0.30000000000000004
Perennial,Lysimachia,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Perennial,Lythrum salicaria,5.0,22.0,18.0,2400.0,60.0,30.0,0.25
Perennial Herb,Maianthemum,5.0,18.0,15.0,24000.0,65.0,20.0,0.4
Flowering perennial,Meconopsis,10.0,18.0,15.0,3600.0,60.0,50.0,0.3
Perennial,Myosotis sylvatica,3.0,15.0,12.0,18000.0,70.0,10.0,0.5
Flowering plant,Ornithogalum,7.5,20.0,17.5,25200.0,50.0,50.0,0.4
Perennial,Paeonia x,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Pilosella,5.0,18.0,15.0,36000.0,60.0,20.0,0.3
Herb,Pimpinella,5.0,25.0,20.0,12000.0,60.0,15.0,0.3
Herb,Plantago major,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Herbaceous Plant,Plantago,5.0,20.0,18.0,3600.0,70.0,20.0,0.4
Perennial,Polygonatum,10.0,20.0,18.0,3000.0,60.0,50.0,0.25
Perennial,Potentilla,5.0,20.0,18.0,20000.0,60.0,20.0,0.3
Perennial,Primula elatior,3.5,12.5,10.8,25000.0,60.0,15.0,0.35
Perennial,Primula veris,3.0,12.0,10.0,18000.0,60.0,10.0,0.4
Herbaceous perennial,Prunella vulgaris,5.2,18.5,15.2,24000.0,65.0,20.0,0.25
Perennial,Ranunculus acris,5.0,18.0,15.0,6000.0,70.0,20.0,0.3
Aquatic,Sagittaria,5.0,25.0,22.0,6000.0,80.0,50.0,0.4
Perennial,Salvia Nemorosa,5.0,20.0,18.0,3600.0,50.0,30.0,0.3
Perennial,Sanguisorba,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Sanguisorba tenuifolia,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Smilacina,5.0,20.0,15.0,30000.0,60.0,20.0,0.3
Perennial,Solidago,5.0,20.0,15.0,6000.0,50.0,20.0,0.2
Perennial,Stachys macrantha,5.0,20.0,18.0,36000.0,60.0,20.0,0.4
Flowering plant,Symphyandra pendula,3.0,18.0,15.0,3000.0,60.0,20.0,0.3
Perennial Herb,Tanacetum vulgare,5.0,20.0,15.0,6000.0,60.0,50.0,0.3
Perennial,Thalictrum,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Perennial,Thalictrum flavum,4.0,18.0,15.0,18000.0,60.0,20.0,0.35
Perennial,Thalictrum Minus,5.0,18.0,15.0,5000.0,60.0,20.0,0.4
Perennial,Thermopsis,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Flowering Plant,Tragopogon,5.0,25.0,20.0,3000.0,60.0,50.0,0.4
Perennial,Tricyrtis,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Perennial Flower,Trollius Chinensis,5.0,20.0,15.0,6000.0,70.0,20.0,0.4
Perennial Flower,Trollius europaeus,5.0,10.0,12.0,24000.0,60.0,20.0,0.3
Perennial,Verbascum Chaixii,5.0,15.0,18.0,24000.0,50.0,20.0,0.3
Perennial,Verbascum,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Verbena hastata,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Perennial,Veronica,5.0,25.0,20.0,6000.0,50.0,20.0,0.3
Flowering Perennial,Veronicastrum,5.0,18.0,15.0,5000.0,60.0,20.0,0.3
Perennial,Vicia sepium,5.0,18.0,15.0,6000.0,70.0,50.0,0.25
Perennial,Viscaria Vulgaris,3.0,20.0,15.0,25200.0,50.0,15.0,0.30000000000000004
Flower,Viola tricolor,5.0,20.0,18.0,18000.0,60.0,20.0,0.4
Flowering Annual,Agrostemma,7.5,20.0,15.0,25200.0,50.0,20.0,0.25
Flowering plant,Calendula stellata,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Annual,Cerinthe Major,3.5,20.0,17.5,25200.0,50.0,10.0,0.30000000000000004
Flowering Plant,Commelina,5.0,25.0,20.0,6000.0,60.0,20.0,0.4
Perennial,Fallopia,5.0,20.0,15.0,18000.0,70.0,20.0,0.4
Flowering Plant,Felicia amelloides,5.0,22.0,18.0,6000.0,50.0,20.0,0.4
Weed,Galinsoga,5.0,20.0,18.0,3600.0,80.0,20.0,0.3
Perennial Vine,Ipomoea Coccinea,5.0,25.0,20.0,36000.0,60.0,50.0,0.4
Grass,Lolium,5.0,20.0,18.0,3600.0,80.0,20.0,0.3
Flowering plant,Nicotiana,5.0,25.0,20.0,3000.0,60.0,20.0,0.3
Perennial,Reseda odorata,5.0,20.0,15.0,6000.0,60.0,30.0,0.3
Climbing Vine,Rhodochiton atrosanguineus,3.0,18.0,15.0,6000.0,60.0,20.0,0.4
Flower,Tagetes Linnaeus,5.0,25.0,20.0,12000.0,70.0,20.0,0.3
Flowering Vine,Thunbergia Alata,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Perennial,Agastache,5.0,20.0,15.0,3600.0,50.0,20.0,0.3
Vegetable,Allium sativum,7.5,22.5,15.0,20000.0,55.0,20.0,0.30000000000000004
Flowering Perennial Herb,Allium ursinum,3.0,10.0,12.0,24000.0,70.0,20.0,0.4
Perennial,Allium vineale,5.0,15.0,10.0,3600.0,70.0,20.0,0.3
Vegetable,Capsicum,5.0,25.0,20.0,6000.0,60.0,10.0,0.3
Herbaceous plant,Chenopodium,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Perennial,Crambe maritima,5.0,15.0,10.0,18000.0,70.0,20.0,0.3
Vegetable,Cyclanthera,5.0,23.0,18.0,7200.0,60.0,20.0,0.25
Herb,Fennel,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Vegetable,Sium sisarum,5.0,18.0,15.0,18000.0,70.0,10.0,0.4
Herbaceous perennial,Urtica dioica,5.0,18.0,12.0,18000.0,60.0,20.0,0.5
Perennial shrub,Amelanchier,5.0,15.0,18.0,3600.0,70.0,50.0,0.3
Shrub,Caragana,5.0,10.0,15.0,18000.0,50.0,20.0,0.3
Shrub,Caragana Frutex,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Perennial,Clematis Alpina,5.0,15.0,10.0,3600.0,50.0,20.0,0.3
Perennial,Laburnum,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Lonicera,5.0,20.0,18.0,24000.0,60.0,20.0,0.4
Fruit Tree,Malus domestica,5.0,15.0,18.0,3600.0,60.0,20.0,0.3
Shrub,Physocarpus,5.0,18.0,15.0,3600.0,50.0,20.0,0.3
Tree,Pterocarya,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Fruit-bearing shrub,Ribes Uva-Crispa,5.0,20.0,15.0,3000.0,60.0,50.0,0.3
Vegetable,Solanum,5.0,22.0,18.0,60000.0,60.0,30.0,0.3
Herbaceous perennial,Artemisia,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Herbaceous Plant,Brassica nigra,5.0,20.0,15.0,6000.0,70.0,50.0,0.3
Brassica rapa,Brassica rapa,5.0,20.0,15.0,3000.0,60.0,20.0,0.4
Vegetable,Diplotaxis,5.0,20.0,15.0,6000.0,60.0,50.0,0.3
Flowering plant,Lathyrus,5.0,25.0,20.0,3600.0,60.0,10.0,0.3
Perennial,Lupinus,5.0,18.0,15.0,6000.0,50.0,50.0,0.3
Herbaceous,Matricaria,5.0,18.0,15.0,30000.0,60.0,50.0,0.35
Legume,Melilotus,5.0,20.0,18.0,36000.0,50.0,20.0,0.3
Herb,Petroselinum,5.0,20.0,15.0,3600.0,70.0,20.0,0.3
Fruit,Kiinankonnanmarja E-S,5.0,22.0,20.0,3600.0,60.0,20.0,0.4
Flowering plant,Tunturipoimulehti lk,5.0,15.0,10.0,18000.0,60.0,10.0,0.3
Herb,Koiruoho/Mali LK,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
 ,maitokello k-s,10.0,20.0,18.0,3600.0,60.0,50.0,0.3
Flowering Plant,Harakankello lk,5.0,25.0,20.0,36000.0,60.0,20.0,0.3
 ,hakarasara lk,5.110122699386503,20.035663478047585,16.87704194260486,8931.591165644171,61.68866535819431,26.998773006134968,0.4054513122393916
Flowering plant,Lapinvuokko lk,5.0,10.0,8.0,21600.0,60.0,10.0,0.25
Flowering Plant,Valkopallo-ohdake,5.0,20.0,18.0,6000.0,50.0,20.0,0.4
Perennial Flower,Soihtuneidonkieli,3.0,18.0,15.0,2400.0,60.0,10.0,0.4
Flowering Plant,Karvahorsma lk,5.0,20.0,18.0,6000.0,70.0,20.0,0.3
Perennial,Alppipiikkiputki **,5.0,15.0,18.0,3600.0,70.0,10.0,0.2
Perennial,Tummakurjenpolvi *,5.0,20.0,15.0,6000.0,60.0,20.0,0.4
Flowering Plant,Vaaleajouluruusu **-***,10.0,20.0,15.0,36000.0,50.0,20.0,0.3
Flowering Plant,Harjuhäränsilmä lk,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
 ,miekkahirvenjuuri p-s,5.110122699386503,20.035663478047585,16.87704194260486,8931.591165644171,61.68866535819431,26.998773006134968,0.4054513122393916
Flowering plant,Taraxacum,5.0,20.0,15.0,3600.0,60.0,20.0,0.4
Perennial Herb,Thymus vulgaris,2.0,20.0,15.0,30000.0,60.0,10.0,0.3
Herb,Valerianella,1.5,17.5,12.5,3500.0,50.0,15.0,0.30000000000000004
Legume,Keltalinnunherne,5.0,20.0,18.0,3600.0,60.0,10.0,0.3
Flowering plant,Ruusunätkelmä **,5.0,15.0,12.0,36000.0,70.0,20.0,0.3
Flowering Plant,Pyreneittenlilja,5.0,18.0,15.0,6000.0,70.0,15.0,0.3
Perennial,Kesäkuuruoho,2.5,18.5,15.2,24000.0,70.0,10.0,0.35
Flowering Plant,Leimurakkaus E-S,5.0,20.0,18.0,6000.0,70.0,50.0,0.3
Perennial,Tummahelmililja P-S,5.0,23.0,20.0,6000.0,70.0,20.0,0.4
Herb,Mirrinminttu,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Vegetable,Pihakäenkaali ***,5.0,20.0,15.0,18000.0,70.0,20.0,0.3
Flowering Plant,Mukulapaloyrtti Altai,10.0,25.0,20.0,3600.0,60.0,20.0,0.3
Flowering Plant,Vaaleatähkämunkki,5.0,20.0,15.0,18000.0,60.0,15.0,0.3
Perennial,Alppikylmänkukka p-s,5.0,-5.0,2.0,3000.0,70.0,20.0,0.3
Perennial,Harjusärmäputki,5.0,15.0,18.0,18000.0,70.0,20.0,0.3
 ,kaitaängelmä ap.,10.0,20.0,15.0,300.0,60.0,50.0,0.3
Herb,Kalvasapila **,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Flowering plant,Parvitulppaani *,5.0,20.0,18.0,3600.0,70.0,20.0,0.2
Perennial,Pohjanpärskäjuuri P-S,5.0,-5.0,10.0,18000.0,70.0,50.0,0.5
 ,hiirenvirna lk,5.110122699386503,20.035663478047585,16.87704194260486,8931.591165644171,61.68866535819431,26.998773006134968,0.4054513122393916
Indoor plant,Aitoelämänlanka K-S,2.0,22.0,18.0,6000.0,50.0,10.0,0.4
Perennial,Haisukurjenpolvi lk,5.0,18.0,15.0,3600.0,60.0,20.0,0.4
Legume,Keltalupiini *,5.0,20.0,15.0,3000.0,60.0,30.0,0.3
Grass,Nurmimailanen E-S,5.0,20.0,18.0,6000.0,60.0,20.0,0.25
Perennial,Tarhaneito,5.0,20.0,18.0,36000.0,50.0,20.0,0.3
Grass,Rohtopernaruoho,5.0,18.0,15.0,36000.0,70.0,10.0,0.3
Flowering plant,Rautanokkonen,5.0,20.0,15.0,3000.0,60.0,20.0,0.3
Flowering Plant,Pelto-Orvokki LK,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Fruit plant,Ananaskirsikka *,5.0,20.0,18.0,3600.0,60.0,10.0,0.3
Flowering plant,Ukrainanvihma,5.0,15.0,12.0,600.0,60.0,20.0,0.25
Shrub,Mahonia,5.0,20.0,15.0,3000.0,70.0,50.0,0.3
Climbing Plant,Imukärhivilliviini ****,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Shrub,Japaninlikusterisyreeni,5.0,15.0,18.0,6000.0,60.0,20.0,0.3
Vegetable,Koristepaprika/Turkinpippuri,5.0,20.0,18.0,36000.0,60.0,30.0,0.3
Perennial,Ahdekaunokki,5.0,20.0,15.0,6000.0,60.0,15.0,0.3
Fruit,Ahomansikka,5.0,20.0,15.0,3600.0,70.0,20.0,0.3
Perennial,Ahoniittyhumala,5.0,12.0,10.0,18000.0,70.0,20.0,0.3
Perennial,Ahopukinjuuri,5.0,15.0,18.0,36000.0,70.0,20.0,0.4
Flowering plant,Aitohunajakukka,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Herbaceous plant,Aitovirna,5.0,25.0,20.0,10.0,70.0,50.0,0.2
Climbing Plant,Alppikärhö,2.0,15.0,12.0,6000.0,60.0,10.0,0.3
Perennial,Amerikanpioni,5.0,20.0,18.0,3600.0,60.0,20.0,0.5
Flowering Plant,Amerikanvuokko,5.0,18.0,15.0,6000.0,60.0,20.0,0.4
Flowering Plant,Amurinkärsäkalla,7.5,22.5,17.5,5500.0,60.0,25.0,0.30000000000000004
Perennial Flower,Amurin Pioni,5.0,18.0,15.0,3600.0,50.0,20.0,0.3
Flowering Plant,Arovuokko,7.5,20.0,12.5,3500.0,60.0,25.0,0.30000000000000004
Flower,Aurankukka,5.0,10.0,8.0,600.0,70.0,20.0,0.3
Flowering Plant,Auringontähti,5.0,20.0,15.0,3000.0,60.0,20.0,0.4
Fruit,Avomaankurkku,3.0,20.0,18.0,3600.0,70.0,10.0,0.4
Flowering plant,Balkaninkellokki,7.5,22.5,17.5,6500.0,50.0,55.0,0.44999999999999996
Herb,Basilika,5.0,25.0,20.0,30000.0,50.0,20.0,0.3
Leafy Vegetable,Bataviasalaatti,5.0,18.0,15.0,18000.0,70.0,20.0,0.3
Flowering plant,Elleninneilikka,5.0,20.0,18.0,18000.0,70.0,20.0,0.3
Perennial,Etelänkevätesikko,5.0,20.0,18.0,18000.0,50.0,20.0,0.4
Perennial,Etelänruusuruoho,7.5,20.0,17.5,18000.0,60.0,20.0,0.25
Shrub,Euroopanhernepensas,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Vegetable,Fenkoli,5.0,20.0,18.0,3000.0,60.0,10.0,0.3
Cereal,Hapsihirssi,10.0,17.5,15.0,20000.0,55.0,30.0,0.30000000000000004
Perennial Flower,Harjaneilikka,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Flowering Plant,Harmaakäenkukka,5.0,20.0,15.0,36000.0,70.0,20.0,0.3
Flowering Plant,Harmaamalvikki,5.0,20.0,15.0,6000.0,60.0,20.0,0.2
Pepper,Havanna Paprika,5.0,25.0,20.0,6000.0,60.0,50.0,0.3
Perennial Flower,Helluntaikurjenmiekka,7.5,20.0,15.0,25200.0,60.0,20.0,0.4
Herb,Helmivalkosipuli,5.0,18.0,15.0,3600.0,60.0,20.0,0.4
Vegetable,Herkkuhyppykurkku,5.0,20.0,18.0,36000.0,60.0,10.0,0.3
Perennial Flower,Herttakello,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Flowering plant,Hietalaukka,10.0,22.0,18.0,30000.0,60.0,50.0,0.25
Flowering Plant,Himalajanjalkalehti,5.0,25.0,20.0,3600.0,70.0,20.0,0.4
Perennial,Hirvenkello,5.0,15.0,12.0,3600.0,60.0,20.0,0.3
Flowering plant,Hopeasyysvuokko,5.0,20.0,18.0,6000.0,60.0,10.0,0.4
Grass,Hulluruoho,3.5,17.5,14.0,3250.0,55.0,15.0,0.4
Perennial,Humalanvieras,5.0,20.0,18.0,18000.0,70.0,50.0,0.3
Perennial,Hyvänheikinsavikka,5.0,20.0,18.0,3000.0,60.0,20.0,0.4
Legume,Härkäpapu,5.0,15.0,12.0,30000.0,70.0,20.0,0.4
Flowering plant,Idänpensaskanukka,5.0,20.0,18.0,6000.0,65.0,10.0,0.4
Vegetable,Ilmasipuli,5.0,24.0,20.0,36000.0,60.0,50.0,0.25
Flowering Plant,Iltahelokki,5.0,22.0,20.0,6000.0,60.0,20.0,0.4
Vegetable,Italiankaali,5.0,20.0,18.0,6000.0,60.0,50.0,0.3
Perennial Herb,Isohirvenjuuri,5.0,15.0,12.0,3600.0,70.0,20.0,0.25
Flowering Plant,Isoköynnöskrassi,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Flower,Isosamettikukka,5.2,18.5,15.2,23000.0,65.0,20.0,0.35
Perennial,Isotakiainen,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Perennial,Isotähtiputki,3.0,18.0,15.0,18000.0,70.0,10.0,0.3
Perennial,Isotöyhtöangervo,5.0,18.0,15.0,3000.0,60.0,20.0,0.25
Flowering Plant,Isoukonkello,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering plant,Isovahakukka,10.0,24.0,20.0,3600.0,60.0,20.0,0.3
Flowering Plant,Jaloakileija,5.0,22.0,18.0,36000.0,60.0,30.0,0.3
Perennial,Jalokiurunkannus,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Flowering Plant,Jalopähkämö,5.0,20.0,15.0,3600.0,60.0,30.0,0.3
Flowering plant,Jaloritarinkannus,5.0,25.0,20.0,3000.0,60.0,20.0,0.3
Flowering Plant,Japaninhanhikki,5.0,25.0,20.0,3600.0,60.0,30.0,0.4
Flowering Plant,Japaninjättililja,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Japaninkaali,10.2,25.6,21.8,23400.0,70.0,50.0,0.45
Fruit Plant,Japaninruusukvitteni,5.0,25.0,20.0,3600.0,70.0,20.0,0.3
Shrub,Japaninsiipipähkinä,5.0,20.0,15.0,3000.0,70.0,50.0,0.3
Grass,Japaninsuolaheinä,3.2,14.5,12.3,24000.0,60.0,20.0,0.25
Perennial Flower,Juhannusruusu,5.0,22.0,18.0,3600.0,50.0,30.0,0.3
Herb,Juuripersilja,5.0,18.0,15.0,30000.0,60.0,20.0,0.3
Vegetable,Juurisikuri,5.0,18.0,15.0,6000.0,70.0,20.0,0.3
Perennial,Jänönputki,4.0,12.0,10.0,2400.0,70.0,20.0,0.4
Sunflower,Jättiauringonkukka,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Jättikarhunputki,5.0,10.0,12.0,5000.0,60.0,20.0,0.4
Vegetable,Jättikurpitsa 28,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Perennials,Jääpäivikki,4.0,15.0,12.0,36000.0,60.0,20.0,0.35
Leafy Vegetables,Jäävuorisalaatti,5.0,18.0,15.0,3600.0,70.0,10.0,0.25
Flowering Plant,Kakalia,5.0,25.0,20.0,3600.0,70.0,10.0,0.4
Flowering plant,Kaljukultasade,5.0,25.0,20.0,6000.0,70.0,10.0,0.3
Perennial,Kalliokielo,5.0,20.0,15.0,6000.0,60.0,10.0,0.3
Flowering plant,Kamomillasaunio 29,5.0,20.0,18.0,10.0,60.0,50.0,0.3
Herbaceous perennial plant,Karhunjuuri,7.5,12.5,12.5,20000.0,70.0,20.0,0.4
Perennial Herb,Karhunlaukka,5.0,10.0,12.0,24000.0,70.0,20.0,0.4
Perennial,Karhunputki,5.0,12.0,10.0,3600.0,60.0,20.0,0.3
Perennial Flower,Karstaohdake,5.0,18.0,15.0,3600.0,75.0,10.0,0.3
Herb,Karvakirveli,5.0,22.0,18.0,3600.0,60.0,20.0,0.5
Shrub,Karviainen,5.0,12.0,10.0,24000.0,70.0,20.0,0.4
Root Vegetable,Kaskinauris,4.0,18.0,15.0,3600.0,60.0,10.0,0.3
Perennial Flowering Plant,Kaukasiankellokki,5.0,20.0,15.0,6000.0,65.0,20.0,0.4
Flowering Plant,Kaukasiankirahvinkukka,5.4,22.5,18.3,28800.0,70.0,20.0,0.23
Perennial Flower,Kaukasianpioni,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Kaukasiantähtiputki,5.0,15.0,12.0,24000.0,60.0,50.0,0.3
Perennial,Kaunokurjenmiekka,5.0,18.0,15.0,6000.0,60.0,20.0,0.4
Cereal,Kaura 25,5.0,20.0,18.0,3000.0,50.0,10.0,0.2
Root Vegetable,Kaurajuuri,5.0,15.0,12.0,6000.0,60.0,20.0,0.4
Flowering Plant,Keijunmekko,5.0,20.0,18.0,600.0,60.0,100.0,0.25
Flowering plant,Keijuängelmä,5.0,18.0,15.0,36000.0,70.0,20.0,0.4
Perennial Flower,Keisarinkruunu,5.0,15.0,12.0,6000.0,60.0,20.0,0.3
Legume,Keittopapu,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
