Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Vegetable,Tabasco Short Yellow,24.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",2.0,1.0,tabasco short yellow,
Vegetable,Table Queen,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,table queen,
Flowering Plant,Tal,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,tal,
Flowering Plant,Tale,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",2.0,1.0,tale,
Vegetable,Tall Green,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,tall green,
Vegetable,Tall Utah,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2.0,0.5,tall utah,
Flowering plant,Tampes,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,tampes,
Fruit,Tangerine,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,tangerine,
Flowering Plant,Tanja,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,tanja,
Flowering Plant,Taxi Yellow,48.0,"[""Organic fertilizer"",""Slow-release fertilizer""]",4.0,0.5,taxi yellow,
Teaurenard,Teaurenard Seed,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,teaurenard,
Ornamental plant,Tequila Sunrise,48.0,"[""Liquid fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,tequila sunrise,
Flowering Plant,Texas Indian,48.0,"[""All-Purpose fertilizer"",""Organic compost""]",4.0,1.0,texas indian,
Ornamental Plant,Thai Five Star,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,thai five star,
Fruit,Thai Lemon,48.0,"[""NPK 15-15-15"",""Organic compost""]",8.0,1.0,thai lemon,
Vegetable,Thai Long Green,24.0,"[""NPK"",""Compost""]",2.0,1.0,thai long green,
Vegetable,Thai Long Purple,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,thai long purple,
Vegetable,Thai Round Green,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,thai round green,
Vine,Thompson Seedless Green Grape,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,6.0,"thompson seedless green
grape",
Herb,Tia To,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.5,tia to,d
Vegetable,Tiffen Mennonite,36.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",3.0,1.5,tiffen mennonite,
Flowering Plant,Tiger Mix,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,tiger mix,
Tomato,Tiger Tom,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,tiger tom,
Vegetable,Tigerella,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,tigerella,
Flowering Plant,Tiges Rouges,48.0,"[""NPK"",""Compost""]",4.0,0.5,tiges rouges,
Herb,Tive,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,tive,
Flowering Plant,Tives,48.0,"[""NPK"",""Organic compost""]",4.0,2.0,tives,
Flowering Plant,Toiles Cherokee Strain,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"toiles cherokee
strain",h
Tomato,Tommy Toe,24.0,"[""NPK"",""Compost""]",4.0,0.5,tommy toe,
Fruit,Tondino di Manduria,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,tondino di manduria,h
Flowering plant,Tonnelet,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6.0,4.0,tonnelet,
Vegetable,Topepo Rosso,48.0,"[""NPK"",""Compost""]",4.0,2.0,topepo rosso,
Perennial,Torch,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,torch,
Flowering Plant,Transformer,48.0,"[""NPK"",""Compost""]",4.0,1.0,transformer,
Perennial,Trero,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,trero,
Flowering Plant,Tricolore,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,tricolore,
Flowering Plant,Tuffy,48.0,"[""NPK"",""Compost""]",4.0,2.0,tuffy,
Herb,Tulsi Kali,48.0,"[""NPK 20-20-20"",""Organic compost""]",4.0,0.5,tulsi kali,
Herb,Tulsi Rama,24.0,"[""Organic compost"",""Neem cake"",""Fish emulsion""]",4.0,0.5,tulsi rama,
Herb,Tulsi Vana,48.0,"[""Organic compost"",""Neem cake""]",4.0,0.5,tulsi vana,
Vegetable,Turban Turc,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,turban turc,
Annual Flower,Uf Blanc,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,uf blanc,
Herbaceous plant,uf des vertus,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,uf des vertus,
 ,uf hongrois,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",4.0,2.0,uf hongrois,h
Flowering plant,Uf Jaune,48.0,"[""NPK 15-15-15"",""Organic compost""]",4.0,1.0,uf jaune,
Fruit Plant,UF Orange,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,uf orange,
Flowering Plant,UF Rostova,48.0,"[""NPK"",""Compost""]",4.0,2.0,uf rostova,
Flowering Plant,UF Sweet Heart,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,uf sweet heart,
 ,uf yasha yougoslavian,44.29556046112337,[],44.76334586043743,44.76334586043743,"uf yasha
yougoslavian",
Fruit Tree,Ukrainian Pear,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,6.0,ukrainian pear,
Desert Plant,Uncle David Dakota Dessert,48.0,"[""Cactus fertilizer"",""Low-nitrogen fertilizer""]",8.0,1.0,uncle david dakota dessert,
Fruit,Valencia,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,valencia,
Fruit,Valenciano,48.0,"[""NPK 20-10-10"",""Organic compost""]",4.0,2.0,valenciano,
Plant,Variegated,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,variegated,
Flowering Plant,Velvet,72.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,velvet,
Perennial,Venice Pink,48.0,"[""NPK"",""Organic compost""]",4.0,0.5,venice pink,
Indoor Plant,Verde Claro,72.0,"[""All-purpose fertilizer"",""Liquid fertilizer""]",4.0,1.0,verde claro,
Vegetable,Verde di Macerata,48.0,"[""NPK"",""Compost"",""Organic Matter""]",4.0,2.0,verde di macerata,
Flowering Plant,Verna Orange,48.0,"[""NPK 20-20-20"",""Organic compost""]",4.0,0.5,verna orange,
Flowering plant,Versailles,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,versailles,
Climbing Plant,Vert Grimpant,48.0,"[""Organic Compost"",""All-Purpose Liquid Fertilizer""]",4.0,2.0,vert grimpant,h
Flowering plant,Vert Petit de Paris,60.0,"[""NPK fertilizers"",""Compost"",""Organic matter""]",5.0,0.75,vert petit de paris,
Flowering Plant,Verte,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,verte,
Flowering plant,Vieille France,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,vieille france,
Perennial,Violet du Laos,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,0.2,violet du laos,
Flowering Plant,Violet Jasper,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,violet jasper,
Ornamental plant,Violet Sparkle,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,violet sparkle,
Flowering plant,Violette de Toulouse,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.375,violette de toulouse,
Flowering Plant,Violina,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,2.0,violina,
Tobacco,Virginia Bright Leaf,48.0,"[""Nitrogen-based"",""Potassium-based"",""Phosphorus-based""]",4.0,0.5,virginia bright leaf,
Vegetable,Waltham,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,waltham,
Leafy Vegetable,Wasabina,24.0,"[""NPK fertilizer"",""Organic compost""]",2.0,0.5,wasabina,
Fruit,Watermelon Beefsteak,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,watermelon beefsteak,
Perennial,Western Front,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,western front,
Flowering Plant,Whippersnapper,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,whippersnapper,
Flowering Plant,White Linen,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,white linen,
Vegetable,White Mammoth,48.0,"[""NPK"",""Organic compost""]",4.0,2.0,white mammoth,
Leafy vegetable,White Potato Leaf,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,4.0,white potato leaf,
Flowering plant,White Queen,48.0,"[""Nitrogen-based"",""Phosphorus-based""]",4.0,0.5,white queen,
Flowering Plant,White Wonder,36.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",5.0,0.375,white wonder,
Aquatic Plant,Wisconsin Lakes,48.0,"[""NPK"",""Liquid Seaweed""]",4.0,2.0,wisconsin lakes,
Vegetable,Woolly Green Zebra,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,woolly green zebra,
Flowering Plant,Xanthos,48.0,"[""NPK"",""Compost""]",4.0,0.5,xanthos,
Flowering plant,Yellow Bell,48.0,"[""NPK fertilizer"",""Compost""]",4.0,1.0,yellow bell,
Vegetable,Yellow Brandywine,24.0,"[""compost"",""well-rotted manure"",""balanced fertilizer""]",4.0,0.5,yellow brandywine,
Flowering Plant,Yellow Centiflor,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,yellow centiflor,
Flowering Plant,Yellow Furry Boar,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,yellow furry boar,
Flowering plant,Yellow Perfection,36.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.5,yellow perfection,
Flowering Plant,Yellow Torch,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,yellow torch,
Herbaceous plant,Yenidje,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,yenidje,
Vegetable,Yolo Wonder,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,yolo wonder,
Flowering Plant,Zappho,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,zappho,h
Flowering Plant,Zarianka,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,zarianka,h
Flowering plant,Zebra,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,zebra,h
Indoor Plant,Zebra Creg,72.0,"[""All-purpose fertilizer"",""Organic compost""]",4.0,1.0,zebra creg,
Flowering Plant,Zogola,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,zogola,
Flowering Plant,Zuboda,48.0,"[""NPK Fertilizer"",""Organic Compost""]",4.0,1.0,zuboda,
Perennial,Achillea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.5,achillea,
Perennial,Aconitum lycoctonum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,aconitum lycoctonum,
Perennial,Actaea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,actaea,
Perennial,Actaea spicata,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,actaea spicata,
Herbaceous perennial,Agrimonia,48.0,"[""Organic compost"",""All-purpose fertilizer""]",4.0,1.0,agrimonia,
Perennial,Alcea rugosa,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,alcea rugosa,
Perennial,Allium,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,2.0,allium,
Flowering plant,Anemone multifida,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,anemone multifida,
Flowering plant,Anemone,48.0,"[""Compost"",""Organic fertilizer""]",4.0,1.0,anemone,
Perennial,Angelica gigas,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.2,angelica gigas,
Perennial,Angelica sylvestris,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,0.2,angelica sylvestris,
Perennial,Antennaria dioica,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",7.0,0.375,antennaria dioica,
Perennial,Anthericum liliago,48.0,"[""Balanced NPK fertilizer"",""Organic compost""]",4.0,0.5,anthericum liliago,
Perennial,Aquilegia,48.0,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4.0,0.5,aquilegia,
Perennial,Aquilegia vulgaris,24.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.25,aquilegia vulgaris,
Shrub,Aralia,48.0,"[""NPK"",""Organic compost""]",4.0,1.0,aralia,
Herbaceous Biennial,Arctium lappa,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,arctium,
Perennial plant,Arisaema,48.0,"[""Organic compost"",""Slow-release fertilizer""]",5.0,1.0,arisaema,
Perennial,Astrantia Maxima,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,astrantia maxima,
Perennial,Campanula,48.0,"[""Slow-release fertilizer"",""Compost""]",4.0,0.25,campanula,
Flowering plant,Cardiocrinum,72.0,"[""Organic compost"",""Slow-release granular fertilizer""]",7.0,3.0,cardiocrinum,
Perennial,Centaurea jacea,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,centaurea jacea,
Flowering plant,Centaurea,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,centaurea,
Perennial,Cephalaria,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",5.0,0.75,cephalaria,
Perennial,Chaerophyllum,48.0,"[""NPK"",""Organic compost""]",4.0,0.5,chaerophyllum,
Perennial,Chelone obliqua,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,chelone obliqua,
Perennial,Cirsium Vulgare,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,cirsium vulgare,
Perennial flowering vine,Clematis,48.0,"[""Organic fertilizer"",""Slow-release fertilizer"",""Balanced NPK fertilizer""]",4.0,1.0,clematis,
Perennial,Corydalis nobilis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.25,corydalis nobilis,
Grass,Dactylis glomerata,36.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",7.0,0.5,dactylis,
Flowering Perennial,Dianthus armeria,48.0,"[""10-10-10"",""14-14-14""]",4.0,0.2,dianthus armeria,
Flowering plant,Dianthus,48.0,"[""NPK fertilizer"",""Organic compost""]",5.0,0.375,dianthus,
Perennial,Dianthus 'Ellen',48.0,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4.0,0.2,dianthus 'ellen',
Perennial,Digitalis purpurea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,digitalis,
Perennial,Digitalis Lutea,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,digitalis lutea,
Herbaceous perennial,Dracocephalum nutans,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.2,dracocephalum nutans,
Perennial herb,Echinops,48.0,"[""Organic compost"",""Slow-release fertilizer""]",6.0,0.5,echinops,
Flowering Plant,Echium Vulgare,72.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,echium vulgare,
Perennial,Eranthis hyemalis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",7.0,1.0,eranthis hyemalis,
Perennial,Filipendula,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.5,filipendula,
Flowering Plant,Fritillaria,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,2.0,fritillaria,
Perennial,Gentiana lutea,72.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.2,gentiana lutea,
Flowering Plant,Geranium,48.0,"[""NPK"",""Compost""]",4.0,0.5,geranium,
Perennial Flower,Geum Coccineum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,geum coccineum,
Perennial,Geum rivale,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,0.25,geum rivale,
Herbaceous perennial,Geum urbanum,72.0,"[""Organic compost"",""Slow-release balanced fertilizer""]",4.0,0.2,geum urbanum,
Perennial,Helenium hoopesii,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,helenium hoopesii,
Perennial Flower,Hemerocallis,24.0,"[""10-10-10"",""5-10-5"",""20-20-20""]",6.0,2.0,hemerocallis,
Perennial,Hepatica nobilis,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.2,hepatica nobilis,
Perennial,Heuchera,48.0,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4.0,0.25,heuchera,
Perennial,Hosta sieboldiana,60.0,"[""10-10-10"",""5-10-5""]",5.0,0.75,hosta sieboldiana,
Perennial,Hypericum perforatum,48.0,"[""10-10-10 fertilizer"",""Fish emulsion""]",4.0,0.25,hypericum,
Perennial,Iris aphylla,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,iris aphylla,
Perennial,Iris Typhifolia,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,1.0,iris typhifolia,
Perennial,Lathyrus vernus,48.0,"[""NPK"",""Compost"",""Organic fertilizer""]",4.0,2.0,lathyrus vernus,
Flowering plant,Leontodon,60.0,"[""NPK"",""Organic compost""]",5.0,0.75,leontodon,
Perennial Flowering Plant,Leucanthemum,48.0,"[""Slow-release granular fertilizer"",""Organic compost""]",4.0,0.5,leucanthemum,
Perennial,Leuzea,48.0,"[""Compost"",""Bone Meal"",""Fish Emulsion""]",4.0,0.5,leuzea,
Perennial,Ligularia,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,ligularia,
Herb,Ligusticum,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,ligusticum,
Flowering Plant,Lilium,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,2.0,lilium,
Flowering Plant,Lunaria vulgaris,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,lunaria vulgaris,
Perennial,Lunaria Rediviva,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,lunaria rediviva,
Perennial,Lychnis flos-cuculi,48.0,"[""Compost"",""Organic slow-release fertilizer""]",5.0,0.2,lychnis flos-cuculi,
Perennial,Lysimachia,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,lysimachia,
Perennial,Lythrum salicaria,48.0,"[""10-10-10"",""20-20-20""]",4.0,0.5,lythrum salicaria,
Perennial Herb,Maianthemum,48.0,"[""Organic Compost"",""Slow-Release Fertilizer""]",8.0,1.0,maianthemum,
Flowering perennial,Meconopsis,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.5,meconopsis,
Perennial,Myosotis sylvatica,48.0,"[""Organic compost"",""Slow-release fertilizer""]",6.0,0.25,myosotis sylvatica,
Flowering plant,Ornithogalum,48.0,"[""NPK fertilizers"",""Compost""]",5.0,2.0,ornithogalum,
Perennial,Paeonia x,48.0,"[""10-10-10"",""5-10-5""]",4.0,2.0,paeonia x,
Perennial,Pilosella,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,pilosella,
Herb,Pimpinella,48.0,"[""Nitrogen-rich fertilizers"",""Phosphorus-rich fertilizers"",""Potassium-rich fertilizers""]",4.0,0.5,pimpinella,
Herb,Plantago major,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.25,plantago major,
Herbaceous Plant,Plantago,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.2,plantago,
Perennial,Polygonatum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,1.0,polygonatum,
Perennial,Potentilla,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,potentilla,
Perennial,Primula elatior,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,primula elatior,
Perennial,Primula veris,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,primula veris,
Herbaceous perennial,Prunella vulgaris,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,prunella vulgaris,
Perennial,Ranunculus acris,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,0.5,ranunculus acris,
Aquatic,Sagittaria,48.0,"[""NPK"",""Iron"",""Magnesium""]",4.0,2.0,sagittaria,
Perennial,Salvia Nemorosa,48.0,"[""10-10-10"",""20-20-20""]",6.0,0.25,salvia nemorosa,
Perennial,Sanguisorba,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,sanguisorba,
Perennial,Sanguisorba tenuifolia,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,sanguisorba tenuifolia,
Perennial,Smilacina,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,1.0,smilacina,
Perennial,Solidago,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,solidago,
Perennial,Stachys macrantha,48.0,"[""Nitrogen-rich fertilizer"",""Organic compost""]",4.0,0.5,stachys macrantha,
Flowering plant,Symphyandra pendula,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,symphyandra,
Perennial Herb,Tanacetum vulgare,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.25,tanacetum,
Perennial,Thalictrum,48.0,"[""Organic compost"",""All-purpose fertilizer""]",8.0,0.5,thalictrum,
Perennial,Thalictrum flavum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.5,thalictrum flavum,
Perennial,Thalictrum Minus,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,1.0,thalictrum minus,
Perennial,Thermopsis,48.0,"[""NPK"",""Compost""]",4.0,2.0,thermopsis,
Flowering Plant,Tragopogon,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,tragopogon,
Perennial,Tricyrtis,48.0,"[""Slow-release granular fertilizer"",""Organic compost""]",10.0,0.5,tricyrtis,
Perennial Flower,Trollius Chinensis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.5,trollius chinensis,
Perennial Flower,Trollius europaeus,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.5,trollius europaeus,
Perennial,Verbascum Chaixii,48.0,"[""Slow-release fertilizer"",""Organic compost""]",8.0,0.2,verbascum chaixii,
Perennial,Verbascum,48.0,"[""Organic compost"",""Manure""]",4.0,0.5,verbascum,
Perennial,Verbena hastata,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,verbena hastata,
Perennial,Veronica,48.0,"[""NPK"",""Compost""]",4.0,0.5,veronica,
Flowering Perennial,Veronicastrum,48.0,"[""All-purpose fertilizer"",""Organic compost""]",4.0,0.5,veronicastrum,
Perennial,Vicia sepium,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,vicia sepium,
Perennial,Viscaria Vulgaris,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,1.5,viscaria vulgaris,
Flower,Viola tricolor,48.0,"[""NPK"",""Compost""]",4.0,0.2,viola tricolor,
Flowering Annual,Agrostemma,36.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",5.0,0.75,agrostemma,
Flowering plant,Calendula stellata,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,calendula stellata,
Annual,Cerinthe Major,60.0,"[""NPK 10-10-10"",""Organic compost"",""Fish emulsion""]",5.0,0.75,cerinthe major,
Flowering Plant,Commelina,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,2.0,commelina,
Perennial,Fallopia,48.0,"[""NPK"",""Compost"",""Manure""]",4.0,1.0,fallopia,
Flowering Plant,Felicia amelloides,48.0,"[""10-10-10"",""20-20-20""]",4.0,0.5,felicia,
Weed,Galinsoga,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,galinsoga,
Perennial Vine,Ipomoea Coccinea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,1.5,ipomoea coccinea,
Grass,Lolium,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,lolium,
Flowering plant,Nicotiana,24.0,"[""NPK fertilizers"",""Organic compost""]",2.0,0.5,nicotiana,
Perennial,Reseda odorata,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.25,reseda odorata,
